id,Country,Year,GDP,Total_population,Total_number_of_internet_users
15318,15197,17,57502.26456,2158603.0,219721.0
15319,15197,17,57502.26456,2158603.0,219721.0
15320,15197,18,67935.05515,1950622.0,485946.0
15321,15197,18,67935.05515,1950622.0,485946.0
15322,15197,18,67935.05515,1950622.0,485946.0
15323,15197,18,67935.05515,1950622.0,485946.0
15324,15197,18,67935.05515,1950622.0,485946.0
15325,15197,18,67935.05515,1950622.0,485946.0
15326,15197,18,67935.05515,1950622.0,485946.0
15327,15197,18,67935.05515,1950622.0,485946.0
15328,15197,18,67935.05515,1950622.0,485946.0
15329,15197,18,67935.05515,1950622.0,485946.0
15330,15197,18,67935.05515,1950622.0,485946.0
15331,15197,18,67935.05515,1950622.0,485946.0
15332,15197,19,75549.67174,1996086.0,506217.0
15333,15197,19,75549.67174,1996086.0,506217.0
15334,15197,19,75549.67174,1996086.0,506217.0
15335,15197,19,75549.67174,1996086.0,506217.0
15336,15197,19,75549.67174,1996086.0,506217.0
15337,15197,19,75549.67174,1996086.0,506217.0
15338,15197,19,75549.67174,1996086.0,506217.0
15339,15197,19,75549.67174,1996086.0,506217.0
15340,15197,19,75549.67174,1996086.0,506217.0
15341,15197,19,75549.67174,1996086.0,506217.0
15342,15197,19,75549.67174,1996086.0,506217.0
15343,15197,19,75549.67174,1996086.0,506217.0
15344,15197,20,83521.9999,2062968.0,590240.0
15345,15197,20,83521.9999,2062968.0,590240.0
15346,15197,20,83521.9999,2062968.0,590240.0
15347,15197,20,83521.9999,2062968.0,590240.0
15348,15197,20,83521.9999,2062968.0,590240.0
15349,15197,20,83521.9999,2062968.0,590240.0
15350,15197,20,83521.9999,2062968.0,590240.0
15351,15197,20,83521.9999,2062968.0,590240.0
15352,15197,20,83521.9999,2062968.0,590240.0
15353,15197,20,83521.9999,2062968.0,590240.0
15354,15197,20,83521.9999,2062968.0,590240.0
15355,15197,20,83521.9999,2062968.0,590240.0
15356,15197,21,88482.98358,2165713.0,684441.0
15357,15197,21,88482.98358,2165713.0,684441.0
15358,15197,21,88482.98358,2165713.0,684441.0
15359,15197,21,88482.98358,2165713.0,684441.0
15360,15197,21,88482.98358,2165713.0,684441.0
15361,15197,21,88482.98358,2165713.0,684441.0
15362,15197,21,88482.98358,2165713.0,684441.0
