id,Country,Year,GDP,Sex,Age_category,Suicides_number,Number_of_people,Generation,Total_population,Percentage_of_population,Total_number_of_internet_users,Number_of_internet_users
4714,4668,8,21367.20327,1.0,6.0,27.0,2009100.0,5.0,26944700.0,0.07456382887914878,340102.0,25359.30732945626
4715,4668,8,21367.20327,2.0,6.0,18.0,1920900.0,5.0,26944700.0,0.07129045786369861,340102.0,24246.027300359627
4716,4668,9,22555.69744,1.0,1.0,160.0,527500.0,1.0,27246000.0,0.019360640093958745,690444.0,13367.437789033253
4717,4668,9,22555.69744,1.0,4.0,1150.0,4177400.0,4.0,27246000.0,0.1533215884900536,690444.0,105859.97084342656
4718,4668,9,22555.69744,1.0,2.0,636.0,2523000.0,4.0,27246000.0,0.09260074873375908,690444.0,63935.63135873155
4719,4668,9,22555.69744,1.0,5.0,506.0,2048800.0,2.0,27246000.0,0.07519635909858328,690444.0,51918.874961462236
4720,4668,9,22555.69744,1.0,3.0,479.0,2164400.0,3.0,27246000.0,0.07943918373339205,690444.0,54848.307773618144
4721,4668,9,22555.69744,2.0,4.0,339.0,4145800.0,4.0,27246000.0,0.1521617852161785,690444.0,105059.19163179916
4722,4668,9,22555.69744,2.0,3.0,152.0,2380300.0,3.0,27246000.0,0.08736328268369668,690444.0,60319.454349262276
4723,4668,9,22555.69744,2.0,2.0,135.0,2460500.0,4.0,27246000.0,0.0903068340306834,690444.0,62351.81171548117
4724,4668,9,22555.69744,2.0,5.0,105.0,1972200.0,2.0,27246000.0,0.07238493723849372,690444.0,49977.74560669456
4725,4668,9,22555.69744,2.0,1.0,37.0,884500.0,1.0,27246000.0,0.03246348087792703,690444.0,22414.21559127945
4726,4668,9,22555.69744,1.0,6.0,37.0,2024800.0,5.0,27246000.0,0.07431549585260222,690444.0,51310.68821845409
4727,4668,9,22555.69744,2.0,6.0,12.0,1936800.0,5.0,27246000.0,0.07108566395067166,690444.0,49080.670160757545
4728,4668,10,23401.87468,1.0,2.0,744.0,2489100.0,2.0,27618500.0,0.09012437315567463,1221165.0,110056.73014464941
4729,4668,10,23401.87468,1.0,4.0,1264.0,4316200.0,4.0,27618500.0,0.15627930553795463,1221165.0,190842.81814725636
4730,4668,10,23401.87468,1.0,1.0,146.0,549900.0,1.0,27618500.0,0.019910567192280536,1221165.0,24314.087785361262
4731,4668,10,23401.87468,1.0,5.0,507.0,2051200.0,2.0,27618500.0,0.07426905878306207,1221165.0,90694.775168818
4732,4668,10,23401.87468,1.0,3.0,473.0,2193400.0,3.0,27618500.0,0.07941778155946196,1221165.0,96982.21521806036
4733,4668,10,23401.87468,2.0,4.0,363.0,4287400.0,4.0,27618500.0,0.15523652624146858,1221165.0,189569.41256766298
4734,4668,10,23401.87468,2.0,3.0,157.0,2403700.0,3.0,27618500.0,0.0870322428806778,1221165.0,106280.7288773829
